Category,Job Role,Location,Job Description,Required Skills,MIn Salary(INR/year) in lpa,Max Salary(INR/year) in lpa,Average salary,Company
Ad Tech / Data,Software Engineer – Ad Platforms,India / Remote,Build software for Media.net’s ad tech platform and monetization tools.,"JavaScript/Java, Big Data, Ad Systems",12,22,17,Media.net
Aero / Space / Engineering,Scientist/Engineer – Space Systems (Entry),India,Work on research or engineering projects at ISRO for India’s space programme.,"Engineering degree, systems thinking, eager to learn",8,14,11,ISRO
Aerospace / Embedded,Avionics Engineer,Hyderabad,Develop and test avionics systems for satellites,"Embedded C, Microcontrollers, CAN",15,20,17.5,Dhruva Space
Aerospace / Embedded,Power Electronics Engineer,Chennai,Design and test power electronics for launch vehicles,"PCB Design, Control Systems, MATLAB",12,15,13.5,Agnikul Cosmos
Aerospace / Embedded,RF Design Engineer,Bengaluru,Design RF communication modules for satellite systems,"RF Circuits, Antennas, Signal Processing",10,22,16,Bellatrix Aerospace
Aerospace / Embedded,Systems Engineer,Chennai,Oversee system integration and testing of rocket modules,"Mechanical Design, Electrical Systems",10,18,14,Agnikul Cosmos
Aerospace / Embedded,Test Engineer,Bengaluru,Conduct performance testing on propulsion systems,"Thermal Simulation, CAD, Instrumentation",8,12,10,Bellatrix Aerospace
Aerospace / Engineering,Aerospace Engineer – Launch Vehicles,India / US (India-eligible),Design/engineer rocket launch vehicle systems for Blue Origin.,"Aerospace engineering, systems design, CAD tools",20,35,27.5,Blue Origin
Aerospace / Engineering,Systems Engineer – UAV/Drone Systems,India,Design and integrate drone systems and missions for Garuda Aerospace.,"Embedded systems, C/C++, Systems design",11,18,14.5,Garuda Aerospace
Analyst / Research,Research Associate,India,Support research teams by collecting data and creating reports at Gartner. (Indeed),"Writing, Research, Excel, Data collection",8,14,11,Gartner
Analytics / Biz Ops,Data Analyst – BizApps,Bengaluru/India,Analyse business applications usage and drive insights.,"SQL, Excel, Visualization",9,14,11.5,Whatfix
Analytics / Data,Business Analyst – Tech Solutions,India,Analyse business processes and support solution design in tech consulting.,"SQL, Excel, Communication",8,13,10.5,Accolite
